"AIQ","HCI","SD","BF","NAOS","EL","NI","AGNT"
55.3,0.4,19.0,BF02,2,100k,100000,H_l#3
57.3,0.4,19.7,BF02,2,100k,100000,H_l#4
57.5,0.4,19.7,BF02,2,100k,100000,H_l#5
46.2,1.7,27.6,BF02,2,100k,100000,MC_AIXI#1
55.4,1.3,21.0,BF02,2,100k,100000,MC_AIXI#2
45.2,1.4,23.4,BF02,2,100k,100000,MC_AIXI#3
57.1,1.3,21.5,BF02,2,100k,100000,MC_AIXI#4
54.3,1.2,19.9,BF02,2,100k,100000,MC_AIXI#5
52.9,0.4,18.2,BF02,2,100k,100000,Q_l#1
53.8,0.4,18.6,BF02,2,100k,100000,Q_l#2
55.3,0.4,19.2,BF02,2,100k,100000,Q_l#3
56.9,0.4,19.9,BF02,2,100k,100000,Q_l#4
57.8,0.4,20.5,BF02,2,100k,100000,Q_l#5
51.0,0.4,18.1,BF02,2,100k,100000,Q_0#1
52.2,0.4,18.5,BF02,2,100k,100000,Q_0#2
53.8,0.4,19.0,BF02,2,100k,100000,Q_0#3
55.2,0.4,19.7,BF02,2,100k,100000,Q_0#4
56.0,0.4,20.3,BF02,2,100k,100000,Q_0#5
33.6,0.5,28.0,BF02,2,3k,3000,Freq#1
39.2,0.5,26.0,BF02,2,3k,3000,Freq#2
42.2,0.5,25.1,BF02,2,3k,3000,Freq#3
42.2,0.5,24.3,BF02,2,3k,3000,Freq#4
43.2,0.5,23.8,BF02,2,3k,3000,Freq#5
56.7,0.4,19.6,BF02,2,3k,3000,H_l#1
55.2,0.4,18.6,BF02,2,3k,3000,H_l#2
55.3,0.4,19.0,BF02,2,3k,3000,H_l#3
57.3,0.4,19.9,BF02,2,3k,3000,H_l#4
57.5,0.4,20.8,BF02,2,3k,3000,H_l#5
45.4,1.7,26.7,BF02,2,3k,3000,MC_AIXI#1
55.6,1.3,20.5,BF02,2,3k,3000,MC_AIXI#2
45.5,1.5,23.7,BF02,2,3k,3000,MC_AIXI#3
55.9,1.3,20.4,BF02,2,3k,3000,MC_AIXI#4
53.7,1.2,19.0,BF02,2,3k,3000,MC_AIXI#5
52.9,0.4,18.2,BF02,2,3k,3000,Q_l#1
53.9,0.4,18.6,BF02,2,3k,3000,Q_l#2
55.4,0.4,19.3,BF02,2,3k,3000,Q_l#3
56.7,0.4,20.3,BF02,2,3k,3000,Q_l#4
57.0,0.4,21.3,BF02,2,3k,3000,Q_l#5
51.0,0.4,18.4,BF02,2,3k,3000,Q_0#1
52.3,0.4,18.6,BF02,2,3k,3000,Q_0#2
53.6,0.4,19.2,BF02,2,3k,3000,Q_0#3
54.6,0.4,20.8,BF02,2,3k,3000,Q_0#4
55.0,0.4,22.1,BF02,2,3k,3000,Q_0#5
46.7,0.5,24.3,BF02,2,30k,30000,Freq#1
48.3,0.5,23.0,BF02,2,30k,30000,Freq#2
49.4,0.4,22.6,BF02,2,30k,30000,Freq#3
48.5,0.4,20.6,BF02,2,30k,30000,Freq#4
48.0,0.4,20.8,BF02,2,30k,30000,Freq#5
