"AIQ","HCI","SD","BF","NOC","EL","NI","AGNT"
13.0,1.0,16.9,BF53,3,100k,100000,MC_AIXI#3
53.9,1.5,24.2,BF53,3,100k,100000,MC_AIXI#4
49.5,1.3,21.2,BF53,3,100k,100000,MC_AIXI#5
47.9,0.4,19.9,BF53,3,100k,100000,Q_l#1
49.0,0.4,20.4,BF53,3,100k,100000,Q_l#2
51.9,0.4,22.0,BF53,3,100k,100000,Q_l#3
54.0,0.5,23.0,BF53,3,100k,100000,Q_l#4
54.7,0.5,24.7,BF53,3,100k,100000,Q_l#5
46.0,0.4,19.1,BF53,3,100k,100000,Q_0#1
48.2,0.4,20.2,BF53,3,100k,100000,Q_0#2
50.5,0.4,21.1,BF53,3,100k,100000,Q_0#3
53.2,0.4,22.8,BF53,3,100k,100000,Q_0#4
54.0,0.5,25.1,BF53,3,100k,100000,Q_0#5
41.2,0.5,24.0,BF53,3,3k,3000,Freq#1
41.8,0.5,23.9,BF53,3,3k,3000,Freq#2
41.8,0.5,23.3,BF53,3,3k,3000,Freq#3
42.0,0.5,23.0,BF53,3,3k,3000,Freq#4
41.9,0.4,22.2,BF53,3,3k,3000,Freq#5
52.1,0.5,23.8,BF53,3,3k,3000,H_l#1
50.9,0.4,22.1,BF53,3,3k,3000,H_l#2
51.9,0.5,23.0,BF53,3,3k,3000,H_l#3
50.6,0.5,24.5,BF53,3,3k,3000,H_l#4
47.9,0.5,25.1,BF53,3,3k,3000,H_l#5
2.3,0.7,11.6,BF53,3,3k,3000,MC_AIXI#1
45.7,1.3,20.8,BF53,3,3k,3000,MC_AIXI#2
7.5,0.6,10.3,BF53,3,3k,3000,MC_AIXI#3
42.6,1.2,19.4,BF53,3,3k,3000,MC_AIXI#4
42.6,1.1,17.8,BF53,3,3k,3000,MC_AIXI#5
46.6,0.4,20.2,BF53,3,3k,3000,Q_l#1
47.3,0.4,20.7,BF53,3,3k,3000,Q_l#2
48.2,0.4,22.6,BF53,3,3k,3000,Q_l#3
46.3,0.5,24.6,BF53,3,3k,3000,Q_l#4
43.3,0.5,25.7,BF53,3,3k,3000,Q_l#5
44.7,0.4,19.5,BF53,3,3k,3000,Q_0#1
46.1,0.4,20.5,BF53,3,3k,3000,Q_0#2
46.6,0.4,21.7,BF53,3,3k,3000,Q_0#3
44.3,0.5,24.0,BF53,3,3k,3000,Q_0#4
41.0,0.5,24.2,BF53,3,3k,3000,Q_0#5
45.8,0.5,24.5,BF53,3,30k,30000,Freq#1
46.7,0.5,24.1,BF53,3,30k,30000,Freq#2
47.2,0.5,23.8,BF53,3,30k,30000,Freq#3
46.7,0.5,23.4,BF53,3,30k,30000,Freq#4
46.4,0.5,23.1,BF53,3,30k,30000,Freq#5
55.1,0.5,24.0,BF53,3,30k,30000,H_l#1
52.0,0.4,22.4,BF53,3,30k,30000,H_l#2
53.8,0.5,23.2,BF53,3,30k,30000,H_l#3
55.9,0.5,24.6,BF53,3,30k,30000,H_l#4
55.6,0.5,25.1,BF53,3,30k,30000,H_l#5
5.8,1.0,16.0,BF53,3,30k,30000,MC_AIXI#1
51.8,1.5,24.2,BF53,3,30k,30000,MC_AIXI#2
12.9,0.9,14.8,BF53,3,30k,30000,MC_AIXI#3
